<<<<<<< HEAD
Weekday,sum_American,sum_Carmel,sum_Diplo,sum_Federal,sum_Firstclass,sum_Highclass,sum_Prestige,sum_Skyline,sum_Total,avg_maxtempC,avg_avgtempC,avg_uvIndex,avg_precipMM,avg_cloudcover,avg_humidity
Monday,11055,39139,12507,41,22960,19930,41316,20396,167344,26.615384615384617,23.46153846153846,5.615384615384615,5.700000000000001,20.692307692307693,76.0
Tuesday,12011,39347,13226,36,24718,20261,43591,25924,179114,25.785714285714285,23.0,5.714285714285714,6.299999999999999,27.357142857142858,78.92857142857143
Wednesday,11373,38394,12448,31,23782,18890,40733,25434,171085,27.0,24.0,5.769230769230769,5.707692307692307,21.53846153846154,76.46153846153847
Thursday,11844,41859,12432,48,23734,19246,41735,24638,175536,25.384615384615383,22.76923076923077,5.461538461538462,4.2,25.692307692307693,74.46153846153847
Friday,14366,38267,14642,47,25381,22740,48317,17867,181627,25.846153846153847,22.153846153846153,5.384615384615385,2.8076923076923084,23.307692307692307,75.07692307692308
Saturday,16552,28321,17127,43,24227,25897,54289,6404,172860,25.692307692307693,22.923076923076923,5.538461538461538,3.0384615384615383,31.23076923076923,76.46153846153847
Sunday,14511,31192,16168,30,21967,24961,50660,7033,166522,25.923076923076923,23.153846153846153,5.538461538461538,4.723076923076924,32.07692307692308,78.53846153846153
=======
Weekday,count_American,count_Carmel,count_Diplo,count_Federal,count_Firstclass,count_Highclass,count_Prestige,count_Skyline,Total,maxtempC,avgtempC,uvIndex,precipMM,cloudcover,humidity
Monday,11055,39139,12507,41,22960,19930,41316,20396,167344,26.615384615384617,23.46153846153846,5.615384615384615,5.700000000000001,20.692307692307693,76.0
Tuesday,12011,39347,13226,36,24718,20261,43591,25924,179114,25.785714285714285,23.0,5.714285714285714,6.3,27.357142857142858,78.92857142857143
Wednesday,11373,38394,12448,31,23782,18890,40733,25434,171085,27.0,24.0,5.769230769230769,5.707692307692308,21.53846153846154,76.46153846153847
Thursday,11844,41859,12432,48,23734,19246,41735,24638,175536,25.384615384615383,22.76923076923077,5.461538461538462,4.2,25.692307692307693,74.46153846153847
Friday,14366,38267,14642,47,25381,22740,48317,17867,181627,25.846153846153847,22.153846153846153,5.384615384615385,2.8076923076923075,23.307692307692307,75.07692307692308
Saturday,16552,28321,17127,43,24227,25897,54289,6404,172860,25.692307692307693,22.923076923076923,5.538461538461538,3.0384615384615383,31.23076923076923,76.46153846153847
Sunday,14511,31192,16168,30,21967,24961,50660,7033,166522,25.923076923076923,23.153846153846153,5.538461538461538,4.723076923076923,32.07692307692308,78.53846153846153
>>>>>>> 982596617aafc7b4494ee74144a76f871929021b
